id,codigo_producto,referencia,descripcion,subtipo_anterior,subtipo_nuevo
2672,3.6116.015.0,WOODY BRAZO SIMPLE L 390 GR,SIMPLE ARM L=390 MM  - COLOUR: GREY,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2673,3.6117.015.0,WOODY BRAZO SIMPLE L 785 GR,SIMPLE ARM L=785 MM  - COLOUR: GREY,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2674,3.6118.015.0,WOODY CONTRABRIDA GR,CONTRABRIDA - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2675,3.6119.015.0,WOODY DISCO ADAPTADOR GR,DISCO ADAPTADOR - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2676,3.6120.015.0,PLATEA POSTE SUPERIOR SIMPLE D 120 GR,POSTE SUPERIOR SIMPLE D = 120 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2677,3.6121.015.0,PLATEA DOBLE POSTE SUPERIOR SIMPLE D 120 GR,DOBLE POSTE SUPERIOR SIMPLE D = 120 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2678,3.6122.015.0,PLATEA TRIPLE POSTE SUPERIOR SIMPLE D 120 GR,TRIPLE POSTE SUPERIOR SIMPLE D = 120 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2679,3.6123.015.0,PLATEA BRIDA INTERMEDIA D 120,BRIDA INTERMEDIA D = 120 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2680,3.6130.015.0,PLATEA BRAZO SIMPLE L 900 GR,BRAZO SIMPLE L = 900 MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2681,3.6131.015.0,PLATEA BRAZO SIMPLE L 1500 GR,BRAZO SIMPLE L = 1500 MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2682,3.6132.015.0,PLATEA BRIDA PARA BRAZO GR,BRIDA PARA BRAZO - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2683,3.6134.015.0,CROW REDUCTOR DE POSTE GR,REDUCTOR DE POSTE - DE Ø 102 A 76 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2684,3.6135.015.0,PLATEA BRAZO SIMPLE L 1500 GR,BRAZO SIMPLE L = 1500 MM - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2685,3.6152.015.0,CROW REDUCTOR DE POSTE GR,REDUCTOR DE POSTE - DE Ø 60 A 76 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
